127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000913
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002300
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001612
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000415
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003577
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000534
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001389
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001056
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001106
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/default/index, HTTP/1.1, 200, 0.036247
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.001019
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.002106
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.000915
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.002336
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001036
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002184
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002340
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001059
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001369
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000326
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000265
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000381
127.0.0.1, 2013-12-03 00:40:59, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000792
127.0.0.1, 2013-12-03 00:40:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2013-12-03 00:41:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2013-12-03 00:41:01, POST, /admin/default/index, HTTP/1.1, 303, 0.045636
127.0.0.1, 2013-12-03 00:41:01, GET, /admin/default/site, HTTP/1.1, 200, 0.049368
127.0.0.1, 2013-12-03 00:41:01, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000504
127.0.0.1, 2013-12-03 00:41:01, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.001598
127.0.0.1, 2013-12-03 00:41:02, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2013-12-03 00:41:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.642664
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/default/index, HTTP/1.1, 200, 0.030900
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/css/bootstrap.css, HTTP/1.1, 200, 0.001352
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002568
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery-1.4.1.min.js, HTTP/1.1, 200, 0.000778
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001438
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery.jcarousel.pack.js, HTTP/1.1, 200, 0.001097
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/css/style.css, HTTP/1.1, 200, 0.001849
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery-func.js, HTTP/1.1, 200, 0.001260
127.0.0.1, 2013-12-03 00:42:23, GET, /Comprehensive_Logistics_Management_Portal/static/images/footer.gif, HTTP/1.1, 200, 0.000425
127.0.0.1, 2013-12-03 00:43:05, GET, /Comprehensive_Logistics_Management_Portal/default/user/login, HTTP/1.1, 200, 0.040624
127.0.0.1, 2013-12-03 00:44:14, GET, /Comprehensive_Logistics_Management_Portal/default/place_order, HTTP/1.1, 303, 0.032895
127.0.0.1, 2013-12-03 00:44:14, GET, /Comprehensive_Logistics_Management_Portal/default/user/login, HTTP/1.1, 200, 0.216565
127.0.0.1, 2013-12-03 00:44:21, GET, /Comprehensive_Logistics_Management_Portal/default/user/register, HTTP/1.1, 200, 0.036413
127.0.0.1, 2013-12-03 00:44:36, POST, /Comprehensive_Logistics_Management_Portal/default/user/register, HTTP/1.1, 303, 0.195730
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/default/place_order, HTTP/1.1, 200, 0.035584
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/css/calendar.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/js/calendar.js, HTTP/1.1, 200, 0.001989
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/js/web2py.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery.js, HTTP/1.1, 200, 0.004522
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/chosen/chosen.css, HTTP/1.1, 200, 0.001939
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/chosen/chosen.jquery.js, HTTP/1.1, 200, 0.000292
127.0.0.1, 2013-12-03 00:44:36, GET, /Comprehensive_Logistics_Management_Portal/static/chosen/chosen-sprite.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2013-12-03 00:47:20, GET, /Comprehensive_Logistics_Management_Portal/default/estimate_cost, HTTP/1.1, 200, 0.029487
127.0.0.1, 2013-12-03 00:47:20, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery.popupoverlay.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2013-12-03 00:48:26, GET, /Comprehensive_Logistics_Management_Portal/default/view_consignment, HTTP/1.1, 200, 0.032165
127.0.0.1, 2013-12-03 00:48:32, GET, /Comprehensive_Logistics_Management_Portal/default/estimate_cost, HTTP/1.1, 200, 0.028191
127.0.0.1, 2013-12-03 01:21:50, GET, /Comprehensive_Logistics_Management_Portal/default/user/logout, HTTP/1.1, 404, 0.000969
